Rute ID,APR Profil,Week Profil,Transportform (profile > profile),problem_type,Type,Antal enheder (len(R_original)),Number,Significant Outliers,Length Org,Length Opt,Contribution Margin (Org),Contribution Margin (Opt),Revenue (Org),Revenue (Opt),Cost (Org),Cost (Opt),Set of Significant Outliers
37000300,O18 Omdeler,U39,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,720.4739199999999,732.3587599999998,834.2499999999997,826.8199999999997,113.74000000000007,94.41999999999999,[89]
37000300,SE Omdeler,Gns. Oms,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,434.21162000000004,464.26258,706.2900000000003,699.2100000000003,272.09000000000003,234.95000000000002,[89]
37000300,SE Omdeler,Gns. Oms,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,487.53398000000004,517.5849400000001,706.2900000000002,699.2100000000003,218.76000000000005,181.62000000000006,[89]
37000300,SE Omdeler,U36,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,445.4591200000002,474.97258000000016,717.5200000000006,709.9000000000005,272.09000000000003,234.95000000000002,[89]
37000300,SE Omdeler,U36,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,498.7814800000002,528.2949400000002,717.5200000000006,709.9000000000005,218.76000000000005,181.62000000000006,[89]
37000300,SE Omdeler,U37,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,313.6891200000001,344.65258,585.7499999999998,579.5799999999998,272.09000000000003,234.95000000000002,[89]
37000300,SE Omdeler,U37,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,367.0114800000001,397.97494000000006,585.7499999999997,579.5799999999997,218.76000000000005,181.62000000000006,[89]
37000300,SE Omdeler,U38,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,415.50912000000005,445.53258,687.5700000000003,680.4600000000003,272.09000000000003,234.95000000000002,[89]
37000300,SE Omdeler,U38,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,468.83148000000006,498.85494000000006,687.5700000000002,680.4600000000003,218.76000000000005,181.62000000000006,[89]
37000300,SE Omdeler,U39,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,562.1891199999999,591.8925799999998,834.2499999999997,826.8199999999997,272.09000000000003,234.95000000000002,[89]
37000300,SE Omdeler,U39,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,615.5114799999999,645.2149399999998,834.2499999999997,826.8199999999997,218.76000000000005,181.62000000000006,[89]
37000300,U18 Omdeler,Gns. Oms,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,606.168048,612.748757,706.2900000000003,699.2100000000003,100.08,86.42,[89]
37000300,U18 Omdeler,Gns. Oms,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,625.787942,632.3686510000001,706.2900000000002,699.2100000000003,80.54000000000002,66.89000000000001,[89]
37000300,U18 Omdeler,U36,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,617.4155480000002,623.4587570000001,717.5200000000006,709.9000000000005,100.08,86.42,[89]
37000300,U18 Omdeler,U36,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,637.0354420000002,643.0786510000003,717.5200000000006,709.9000000000005,80.54000000000002,66.89000000000001,[89]
37000300,U18 Omdeler,U37,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,485.64554800000013,493.13875700000006,585.7499999999998,579.5799999999998,100.08,86.42,[89]
37000300,U18 Omdeler,U37,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,505.2654420000001,512.7586510000001,585.7499999999997,579.5799999999997,80.54000000000002,66.89000000000001,[89]
37000300,U18 Omdeler,U38,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,587.4655480000001,594.018757,687.5700000000003,680.4600000000003,100.08,86.42,[89]
37000300,U18 Omdeler,U38,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,607.0854420000001,613.6386510000001,687.5700000000002,680.4600000000003,80.54000000000002,66.89000000000001,[89]
37000300,U18 Omdeler,U39,foot,TSP,Type 1,116,89,1,4982.799999999999,4302.7,734.145548,740.3787569999998,834.2499999999997,826.8199999999997,100.08,86.42,[89]
37000300,U18 Omdeler,U39,foot,TSP,Type 2,116,89,1,4006.2000000000003,3326.1000000000004,753.7654419999999,759.9986509999999,834.2499999999997,826.8199999999997,80.54000000000002,66.89000000000001,[89]
37000301,O18 Omdeler,Gns. Oms,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,309.49134,363.95180000000005,525.6500000000002,502.3800000000002,216.17,138.45999999999998,"[8, 19, 32, 73]"
37000301,O18 Omdeler,Gns. Oms,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,324.1485799999999,371.30232,525.6500000000001,511.7100000000001,201.52,140.43999999999997,"[19, 73]"
37000301,O18 Omdeler,U36,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,322.61884000000003,376.95680000000016,538.7400000000004,515.3500000000004,216.17,138.45999999999998,"[8, 19, 32, 73]"
37000301,O18 Omdeler,U36,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,337.27608,384.13732000000005,538.7400000000002,524.5100000000001,201.52,140.43999999999997,"[19, 73]"
37000301,O18 Omdeler,U37,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,218.94884000000008,276.3768,435.07,414.77000000000004,216.17,138.45999999999998,"[8, 19, 32, 73]"
37000301,O18 Omdeler,U37,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,233.60608000000002,283.56731999999994,435.07,423.94000000000005,201.52,140.43999999999997,"[19, 73]"
37000301,O18 Omdeler,U38,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,293.94884,349.7768000000001,510.07000000000005,488.1700000000001,216.17,138.45999999999998,"[8, 19, 32, 73]"
37000301,O18 Omdeler,U38,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,308.60607999999996,356.44732,510.0700000000001,496.82,201.52,140.43999999999997,"[19, 73]"
37000301,O18 Omdeler,U39,foot,TSP,Type 1,88,"19, 32, 73, 74",4,7609.899999999999,5106.399999999998,402.44883999999996,453.43823999999995,618.5699999999999,598.46,216.17,145.07999999999993,"[19, 32, 73, 74]"
37000301,O18 Omdeler,U39,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,417.1060799999999,461.0573199999998,618.57,601.4300000000001,201.52,140.43999999999997,"[19, 73]"
