id;kommune;vejnr;husnr;husbog;husx;husy;vejx;vejy;husGx;husGy;adresse;kf;linienr;beregning;laengde_med_kf;laengde_uden_kf
1;400;3579;4; ;864191;6122657;864192;6122668;14,7131;55,1164;Sejersvej 4;0;1;0;5975;5975
1;400;3579;8; ;864232;6122648;864233;6122663;14,7137;55,1163;Sejersvej 8;0;2;0;5975;5975
1;400;3579;12; ;864292;6122640;864293;6122657;14,7147;55,1162;Sejersvej 12;0;3;0;5975;5975
1;400;3579;14; ;864324;6122640;864325;6122654;14,7152;55,1161;Sejersvej 14;0;4;0;5975;5975
1;400;3579;16; ;864347;6122638;864348;6122651;14,7155;55,1161;Sejersvej 16;0;5;0;5975;5975
1;400;3579;18; ;864370;6122634;864371;6122648;14,7159;55,116;Sejersvej 18;0;6;0;5975;5975
1;400;3579;20; ;864392;6122632;864393;6122645;14,7162;55,116;Sejersvej 20;0;7;0;5975;5975
1;400;3579;22; ;864416;6122628;864417;6122642;14,7166;55,116;Sejersvej 22;0;8;0;5975;5975
1;400;3579;26; ;864462;6122622;864463;6122637;14,7173;55,1159;Sejersvej 26;0;9;0;5975;5975
1;400;3579;28; ;864482;6122621;864483;6122634;14,7176;55,1158;Sejersvej 28;0;10;0;5975;5975
1;400;3579;30; ;864503;6122619;864504;6122632;14,7179;55,1158;Sejersvej 30;0;11;0;5975;5975
1;400;3579;34; ;864558;6122609;864559;6122625;14,7188;55,1157;Sejersvej 34;0;12;0;5975;5975
1;400;3579;36; ;864579;6122608;864580;6122622;14,7191;55,1157;Sejersvej 36;0;13;0;5975;5975
1;400;3579;38; ;864605;6122606;864606;6122619;14,7195;55,1156;Sejersvej 38;0;14;0;5975;5975
1;400;3579;40; ;864628;6122603;864629;6122616;14,7199;55,1156;Sejersvej 40;0;15;0;5975;5975
1;400;879;6; ;864661;6122596;864676;6122594;14,7204;55,1155;Elisabetsvej 6;0;16;0;5975;5975
1;400;879;8; ;864661;6122576;864673;6122574;14,7203;55,1153;Elisabetsvej 8;0;17;0;5975;5975
1;400;879;10; ;864657;6122542;864669;6122540;14,7202;55,115;Elisabetsvej 10;0;18;0;5975;5975
1;400;954;27; ;864627;6122531;864625;6122518;14,7198;55,1149;Eriksvej 27;0;19;0;5975;5975
1;400;954;23; ;864581;6122536;864579;6122524;14,719;55,115;Eriksvej 23;0;20;0;5975;5975
1;400;954;21; ;864558;6122541;864556;6122527;14,7187;55,1151;Eriksvej 21;0;21;0;5975;5975
1;400;954;19; ;864533;6122542;864531;6122530;14,7183;55,1151;Eriksvej 19;0;22;0;5975;5975
1;400;954;17; ;864497;6122547;864495;6122534;14,7177;55,1152;Eriksvej 17;0;23;0;5975;5975
1;400;954;15; ;864471;6122552;864469;6122538;14,7174;55,1152;Eriksvej 15;0;24;0;5975;5975
1;400;954;13; ;864446;6122553;864444;6122541;14,717;55,1153;Eriksvej 13;0;25;0;5975;5975
1;400;954;11; ;864421;6122556;864419;6122544;14,7166;55,1153;Eriksvej 11;0;26;0;5975;5975
1;400;954;9; ;864398;6122560;864396;6122547;14,7162;55,1154;Eriksvej 9;0;27;0;5975;5975
1;400;954;7; ;864367;6122573;864364;6122551;14,7157;55,1155;Eriksvej 7;0;28;0;5975;5975
1;400;954;5; ;864349;6122566;864347;6122553;14,7155;55,1155;Eriksvej 5;0;29;0;5975;5975
1;400;954;3; ;864315;6122587;864300;6122588;14,715;55,1157;Eriksvej 3;0;30;0;5975;5975
1;400;954;4; ;864288;6122594;864300;6122592;14,7145;55,1157;Eriksvej 4;0;31;0;5975;5975
1;400;954;2; ;864245;6122595;864300;6122589;14,7139;55,1158;Eriksvej 2;0;32;0;5975;5975
1;400;954;6; ;864283;6122566;864298;6122571;14,7144;55,1155;Eriksvej 6;0;33;0;5975;5975
1;400;954;8; ;864321;6122543;864322;6122556;14,715;55,1153;Eriksvej 8;0;34;0;5975;5975
1;400;954;10; ;864347;6122540;864348;6122553;14,7154;55,1152;Eriksvej 10;0;35;0;5975;5975
1;400;954;14; ;864395;6122534;864396;6122547;14,7161;55,1151;Eriksvej 14;0;36;0;5975;5975
1;400;954;16; ;864418;6122531;864419;6122544;14,7165;55,1151;Eriksvej 16;0;37;0;5975;5975
1;400;954;18; ;864441;6122528;864442;6122541;14,7169;55,115;Eriksvej 18;0;38;0;5975;5975
1;400;954;20; ;864466;6122525;864467;6122538;14,7172;55,115;Eriksvej 20;0;39;0;5975;5975
1;400;954;22; ;864495;6122517;864497;6122534;14,7177;55,1149;Eriksvej 22;0;40;0;5975;5975
1;400;954;24; ;864526;6122517;864527;6122530;14,7182;55,1149;Eriksvej 24;0;41;0;5975;5975
1;400;954;26; ;864546;6122515;864547;6122528;14,7185;55,1148;Eriksvej 26;0;42;0;5975;5975
1;400;954;28; ;864571;6122513;864572;6122525;14,7189;55,1148;Eriksvej 28;0;43;0;5975;5975
1;400;954;30; ;864597;6122509;864598;6122521;14,7193;55,1148;Eriksvej 30;0;44;0;5975;5975
1;400;3421;10; ;864573;6122466;864544;6122456;14,7188;55,1144;RÊveh¯jen 10;0;45;0;5975;5975
1;400;3421;15; ;864537;6122430;864553;6122438;14,7182;55,1141;RÊveh¯jen 15;0;46;0;5975;5975
1;400;3421;8; ;864572;6122434;864558;6122427;14,7188;55,1141;RÊveh¯jen 8;0;47;0;5975;5975
1;400;3421;6; ;864589;6122410;864571;6122401;14,719;55,1139;RÊveh¯jen 6;0;48;0;5975;5975
1;400;3421;11; ;864565;6122376;864584;6122375;14,7186;55,1136;RÊveh¯jen 11;0;49;0;5975;5975
1;400;3421;9; ;864584;6122339;864596;6122352;14,7188;55,1132;RÊveh¯jen 9;0;50;0;5975;5975
1;400;3421;7; ;864618;6122334;864612;6122352;14,7194;55,1132;RÊveh¯jen 7;0;51;0;5975;5975
1;400;3421;3; ;864649;6122378;864627;6122373;14,7199;55,1136;RÊveh¯jen 3;0;52;0;5975;5975
1;400;3421;1; ;864641;6122409;864620;6122404;14,7198;55,1138;RÊveh¯jen 1;0;53;0;5975;5975
1;400;3421;2; ;864638;6122442;864638;6122430;14,7198;55,1141;RÊveh¯jen 2;0;54;0;5975;5975
1;400;1893;8; ;864749;6122476;864725;6122479;14,7216;55,1144;Karolinevej 8;0;55;0;5975;5975
1;400;1893;10; ;864743;6122510;864729;6122511;14,7215;55,1147;Karolinevej 10;0;56;0;5975;5975
