RouteId;Adress Id;Adress;lon;lat;linjenummer;L_u;route_group;type;problem_type
B35-E-Day;306532;39 ST/13 AV;-73.986038;40.640389;13;30.0;Day Busses;Car;HPP
B35-E-Day;307792;CHURCH AV/NOSTRAND AV;-73.949277;40.650764;13;30.0;Day Busses;Car;HPP
B35-E-Day;306524;14 AV/39 ST;-73.983782;40.639486;14;30.0;Day Busses;Car;HPP
B35-E-Day;307791;CHURCH AV/NEW YORK AV;-73.946217;40.650909;14;30.0;Day Busses;Car;HPP
B35-E-Day;302707;CHURCH AV/E 37 ST;-73.942939;40.651042;15;30.0;Day Busses;Car;HPP
B35-E-Day;306711;14 AV/CHURCH AV;-73.981284;40.64189;15;30.0;Day Busses;Car;HPP
B35-E-Day;302708;CHURCH AV/E 38 ST;-73.941481;40.651129;16;30.0;Day Busses;Car;HPP
B35-E-Day;302710;CHURCH AV/E 42 ST;-73.937686;40.651325;17;30.0;Day Busses;Car;HPP
B35-E-Day;302711;CHURCH AV/TROY AV;-73.935751;40.65142;18;30.0;Day Busses;Car;HPP
B35-E-Day;302714;CHURCH AV/E 48 ST;-73.932439;40.651571;19;30.0;Day Busses;Car;HPP
B35-E-Day;302715;CHURCH AV/UTICA AV;-73.930572;40.651655;20;30.0;Day Busses;Car;HPP
B35-E-Day;302716;CHURCH AV/E 52 ST;-73.928071;40.652173;21;30.0;Day Busses;Car;HPP
B35-E-Day;302718;CHURCH AV/E 56 ST;-73.924192;40.652456;22;30.0;Day Busses;Car;HPP
B35-E-Day;302719;CHURCH AV/KINGS HWY;-73.922293;40.652394;23;30.0;Day Busses;Car;HPP
B35-E-Day;306838;CHURCH AV/REMSEN AV;-73.919557;40.652955;24;30.0;Day Busses;Car;HPP
B35-E-Day;302722;CHURCH AV/E 94 ST;-73.916683;40.654816;25;30.0;Day Busses;Car;HPP
B35-E-Day;302723;CHURCH AV/E 96 ST;-73.915074;40.655855;26;30.0;Day Busses;Car;HPP
B35-E-Day;302724;CHURCH AV/ROCKAWAY PKWY;-73.914223;40.656401;27;30.0;Day Busses;Car;HPP
B35-E-Day;308230;E 98 ST/HEGEMAN AV;-73.912518;40.655642;28;30.0;Day Busses;Car;HPP
B35-E-Day;307115;HEGEMAN AV/THOMAS S BOYLAND ST;-73.90948;40.655881;29;30.0;Day Busses;Car;HPP
B35-E-Day;301132;HEGEMAN AV/ROCKAWAY AV;-73.906863;40.65628;30;30.0;Day Busses;Car;HPP
B35-E-Day;301133;HEGEMAN AV/OSBORN ST;-73.905046;40.656548;31;30.0;Day Busses;Car;HPP
B35-E-Day;901518;HEGEMAN AV/WATKINS ST;-73.904007;40.656994;32;30.0;Day Busses;Car;HPP
B35-E-Evening;302692;CHURCH AV/McDONALD AV;-73.979587;40.64265;1;30.0;Evening Busses;Car;HPP
B35-E-Evening;308194;39 ST/1 AV;-74.012027;40.656155;1;30.0;Evening Busses;Car;HPP
B35-E-Evening;302678;39 ST/2 AV;-74.010181;40.654972;2;30.0;Evening Busses;Car;HPP
B35-E-Evening;302693;CHURCH AV / E 3 ST;-73.97723;40.643612;2;30.0;Evening Busses;Car;HPP
B35-E-Evening;302679;39 ST/3 AV;-74.008495;40.65396;3;30.0;Evening Busses;Car;HPP
B35-E-Evening;307581;CHURCH AV/E 5 ST;-73.975219;40.644458;3;30.0;Evening Busses;Car;HPP
B35-E-Evening;302680;39 ST/4 AV;-74.005795;40.652335;4;30.0;Evening Busses;Car;HPP
B35-E-Evening;302695;CHURCH AV / OCEAN PKWY;-73.97336;40.645256;4;30.0;Evening Busses;Car;HPP
B35-E-Evening;302681;39 ST/5 AV;-74.004083;40.651303;5;30.0;Evening Busses;Car;HPP
B35-E-Evening;302696;CHURCH AV/CONEY ISLAND AV;-73.971013;40.646222;5;30.0;Evening Busses;Car;HPP
B35-E-Evening;302682;39 ST/6 AV;-74.001423;40.649686;6;30.0;Evening Busses;Car;HPP
B35-E-Evening;302697;CHURCH AV/WESTMINSTER RD;-73.968043;40.647415;6;30.0;Evening Busses;Car;HPP
B35-E-Evening;302683;39 ST/7 AV;-73.999232;40.648374;7;30.0;Evening Busses;Car;HPP
B35-E-Evening;302698;CHURCH AV/RUGBY RD;-73.966292;40.6481;7;30.0;Evening Busses;Car;HPP
B35-E-Evening;302684;39 ST/8 AV;-73.996987;40.647018;8;30.0;Evening Busses;Car;HPP
B35-E-Evening;302699;CHURCH AV/E 18 ST;-73.963199;40.649313;8;30.0;Evening Busses;Car;HPP
B35-E-Evening;302700;CHURCH AV/OCEAN AV;-73.960539;40.650067;9;30.0;Evening Busses;Car;HPP
B35-E-Evening;306636;39 ST/9 AV;-73.994843;40.645704;9;30.0;Evening Busses;Car;HPP
B35-E-Evening;302686;39 ST/10 AV;-73.992613;40.644356;10;30.0;Evening Busses;Car;HPP
B35-E-Evening;302701;CHURCH AV/FLATBUSH AV;-73.958218;40.650362;10;30.0;Evening Busses;Car;HPP
B35-E-Evening;302687;39 ST/FORT HAMILTON PKWY;-73.990195;40.642895;11;30.0;Evening Busses;Car;HPP
B35-E-Evening;302702;CHURCH AV/BEDFORD AV;-73.955969;40.650455;11;30.0;Evening Busses;Car;HPP
B35-E-Evening;302688;39 ST/12 AV;-73.98821;40.641698;12;30.0;Evening Busses;Car;HPP
B35-E-Evening;306532;39 ST/13 AV;-73.986038;40.640389;13;30.0;Evening Busses;Car;HPP
B35-E-Evening;307792;CHURCH AV/NOSTRAND AV;-73.949277;40.650764;13;30.0;Evening Busses;Car;HPP
B35-E-Evening;306524;14 AV/39 ST;-73.983782;40.639486;14;30.0;Evening Busses;Car;HPP
B35-E-Evening;307791;CHURCH AV/NEW YORK AV;-73.946217;40.650909;14;30.0;Evening Busses;Car;HPP
B35-E-Evening;302707;CHURCH AV/E 37 ST;-73.942939;40.651042;15;30.0;Evening Busses;Car;HPP
B35-E-Evening;306711;14 AV/CHURCH AV;-73.981284;40.64189;15;30.0;Evening Busses;Car;HPP
B35-E-Evening;302708;CHURCH AV/E 38 ST;-73.941481;40.651129;16;30.0;Evening Busses;Car;HPP
B35-E-Evening;302710;CHURCH AV/E 42 ST;-73.937686;40.651325;17;30.0;Evening Busses;Car;HPP
B35-E-Evening;302711;CHURCH AV/TROY AV;-73.935751;40.65142;18;30.0;Evening Busses;Car;HPP
B35-E-Evening;302714;CHURCH AV/E 48 ST;-73.932439;40.651571;19;30.0;Evening Busses;Car;HPP
B35-E-Evening;302715;CHURCH AV/UTICA AV;-73.930572;40.651655;20;30.0;Evening Busses;Car;HPP
B35-E-Evening;302716;CHURCH AV/E 52 ST;-73.928071;40.652173;21;30.0;Evening Busses;Car;HPP
B35-E-Evening;302718;CHURCH AV/E 56 ST;-73.924192;40.652456;22;30.0;Evening Busses;Car;HPP
B35-E-Evening;901728;CHURCH AV/LLOYD ST;-73.951423;40.650688;22;30.0;Evening Busses;Car;HPP
B35-E-Evening;302719;CHURCH AV/KINGS HWY;-73.922293;40.652394;23;30.0;Evening Busses;Car;HPP
B35-E-Evening;306838;CHURCH AV/REMSEN AV;-73.919557;40.652955;24;30.0;Evening Busses;Car;HPP
B35-E-Evening;302722;CHURCH AV/E 94 ST;-73.916683;40.654816;25;30.0;Evening Busses;Car;HPP
B35-E-Evening;302723;CHURCH AV/E 96 ST;-73.915074;40.655855;26;30.0;Evening Busses;Car;HPP
B35-E-Evening;302724;CHURCH AV/ROCKAWAY PKWY;-73.914223;40.656401;27;30.0;Evening Busses;Car;HPP
B35-E-Evening;308230;E 98 ST/HEGEMAN AV;-73.912518;40.655642;28;30.0;Evening Busses;Car;HPP
B35-E-Evening;307115;HEGEMAN AV/THOMAS S BOYLAND ST;-73.90948;40.655881;29;30.0;Evening Busses;Car;HPP
B35-E-Evening;301132;HEGEMAN AV/ROCKAWAY AV;-73.906863;40.65628;30;30.0;Evening Busses;Car;HPP
B35-E-Evening;301133;HEGEMAN AV/OSBORN ST;-73.905046;40.656548;31;30.0;Evening Busses;Car;HPP
B35-E-Evening;901518;HEGEMAN AV/WATKINS ST;-73.904007;40.656994;32;30.0;Evening Busses;Car;HPP
B35-E-Morning;308194;39 ST/1 AV;-74.012027;40.656155;1;30.0;Morning;Car;HPP
B35-E-Morning;302693;CHURCH AV / E 3 ST;-73.97723;40.643612;2;30.0;Morning;Car;HPP
B35-E-Morning;302679;39 ST/3 AV;-74.008495;40.65396;3;30.0;Morning;Car;HPP
B35-E-Morning;307581;CHURCH AV/E 5 ST;-73.975219;40.644458;3;30.0;Morning;Car;HPP
B35-E-Morning;302680;39 ST/4 AV;-74.005795;40.652335;4;30.0;Morning;Car;HPP
B35-E-Morning;302681;39 ST/5 AV;-74.004083;40.651303;5;30.0;Morning;Car;HPP
B35-E-Morning;302682;39 ST/6 AV;-74.001423;40.649686;6;30.0;Morning;Car;HPP
B35-E-Morning;302697;CHURCH AV/WESTMINSTER RD;-73.968043;40.647415;6;30.0;Morning;Car;HPP
B35-E-Morning;302683;39 ST/7 AV;-73.999232;40.648374;7;30.0;Morning;Car;HPP
B35-E-Morning;302698;CHURCH AV/RUGBY RD;-73.966292;40.6481;7;30.0;Morning;Car;HPP
B35-E-Morning;302684;39 ST/8 AV;-73.996987;40.647018;8;30.0;Morning;Car;HPP
B35-E-Morning;302700;CHURCH AV/OCEAN AV;-73.960539;40.650067;9;30.0;Morning;Car;HPP
B35-E-Morning;306636;39 ST/9 AV;-73.994843;40.645704;9;30.0;Morning;Car;HPP
B35-E-Morning;302686;39 ST/10 AV;-73.992613;40.644356;10;30.0;Morning;Car;HPP
B35-E-Morning;302687;39 ST/FORT HAMILTON PKWY;-73.990195;40.642895;11;30.0;Morning;Car;HPP
B35-E-Morning;302688;39 ST/12 AV;-73.98821;40.641698;12;30.0;Morning;Car;HPP
B35-E-Morning;306532;39 ST/13 AV;-73.986038;40.640389;13;30.0;Morning;Car;HPP
B35-E-Morning;306524;14 AV/39 ST;-73.983782;40.639486;14;30.0;Morning;Car;HPP
B35-E-Morning;302707;CHURCH AV/E 37 ST;-73.942939;40.651042;15;30.0;Morning;Car;HPP
B35-E-Morning;306711;14 AV/CHURCH AV;-73.981284;40.64189;15;30.0;Morning;Car;HPP
B35-E-Morning;302692;CHURCH AV/McDONALD AV;-73.979587;40.64265;16;30.0;Morning;Car;HPP
B35-E-Morning;302708;CHURCH AV/E 38 ST;-73.941481;40.651129;16;30.0;Morning;Car;HPP
B35-E-Morning;302695;CHURCH AV / OCEAN PKWY;-73.97336;40.645256;17;30.0;Morning;Car;HPP
B35-E-Morning;302696;CHURCH AV/CONEY ISLAND AV;-73.971013;40.646222;18;30.0;Morning;Car;HPP
B35-E-Morning;302711;CHURCH AV/TROY AV;-73.935751;40.65142;18;30.0;Morning;Car;HPP
B35-E-Morning;302699;CHURCH AV/E 18 ST;-73.963199;40.649313;19;30.0;Morning;Car;HPP
B35-E-Morning;302714;CHURCH AV/E 48 ST;-73.932439;40.651571;19;30.0;Morning;Car;HPP
B35-E-Morning;302701;CHURCH AV/FLATBUSH AV;-73.958218;40.650362;20;30.0;Morning;Car;HPP
B35-E-Morning;302702;CHURCH AV/BEDFORD AV;-73.955969;40.650455;21;30.0;Morning;Car;HPP
B35-E-Morning;302716;CHURCH AV/E 52 ST;-73.928071;40.652173;21;30.0;Morning;Car;HPP
B35-E-Morning;302718;CHURCH AV/E 56 ST;-73.924192;40.652456;22;30.0;Morning;Car;HPP
B35-E-Morning;901728;CHURCH AV/LLOYD ST;-73.951423;40.650688;22;30.0;Morning;Car;HPP
B35-E-Morning;307792;CHURCH AV/NOSTRAND AV;-73.949277;40.650764;23;30.0;Morning;Car;HPP
B35-E-Morning;307791;CHURCH AV/NEW YORK AV;-73.946217;40.650909;24;30.0;Morning;Car;HPP
B35-E-Morning;302710;CHURCH AV/E 42 ST;-73.937686;40.651325;25;30.0;Morning;Car;HPP
B35-E-Morning;302722;CHURCH AV/E 94 ST;-73.916683;40.654816;25;30.0;Morning;Car;HPP
B35-E-Morning;302715;CHURCH AV/UTICA AV;-73.930572;40.651655;26;30.0;Morning;Car;HPP
B35-E-Morning;302723;CHURCH AV/E 96 ST;-73.915074;40.655855;26;30.0;Morning;Car;HPP
B35-E-Morning;302719;CHURCH AV/KINGS HWY;-73.922293;40.652394;27;30.0;Morning;Car;HPP
B35-E-Morning;306838;CHURCH AV/REMSEN AV;-73.919557;40.652955;28;30.0;Morning;Car;HPP
B35-E-Morning;302724;CHURCH AV/ROCKAWAY PKWY;-73.914223;40.656401;29;30.0;Morning;Car;HPP
B35-E-Morning;307115;HEGEMAN AV/THOMAS S BOYLAND ST;-73.90948;40.655881;29;30.0;Morning;Car;HPP
B35-E-Morning;308230;E 98 ST/HEGEMAN AV;-73.912518;40.655642;30;30.0;Morning;Car;HPP
B35-E-Morning;301132;HEGEMAN AV/ROCKAWAY AV;-73.906863;40.65628;31;30.0;Morning;Car;HPP
B35-E-Morning;301133;HEGEMAN AV/OSBORN ST;-73.905046;40.656548;31;30.0;Morning;Car;HPP
B35-E-Morning;901518;HEGEMAN AV/WATKINS ST;-73.904007;40.656994;32;30.0;Morning;Car;HPP
B35-E-Night;308194;39 ST/1 AV;-74.012027;40.656155;1;30.0;Night;Car;HPP
B35-E-Night;302680;39 ST/4 AV;-74.005795;40.652335;4;30.0;Night;Car;HPP
B35-E-Night;302681;39 ST/5 AV;-74.004083;40.651303;5;30.0;Night;Car;HPP
B35-E-Night;302683;39 ST/7 AV;-73.999232;40.648374;7;30.0;Night;Car;HPP
B35-E-Night;306636;39 ST/9 AV;-73.994843;40.645704;9;30.0;Night;Car;HPP
B35-E-Night;302686;39 ST/10 AV;-73.992613;40.644356;10;30.0;Night;Car;HPP
B35-E-Night;302687;39 ST/FORT HAMILTON PKWY;-73.990195;40.642895;11;30.0;Night;Car;HPP
B35-E-Night;306532;39 ST/13 AV;-73.986038;40.640389;13;30.0;Night;Car;HPP
B35-E-Night;306524;14 AV/39 ST;-73.983782;40.639486;14;30.0;Night;Car;HPP
B35-E-Night;306711;14 AV/CHURCH AV;-73.981284;40.64189;15;30.0;Night;Car;HPP
B35-E-Night;302692;CHURCH AV/McDONALD AV;-73.979587;40.64265;16;30.0;Night;Car;HPP
B35-E-Night;302693;CHURCH AV / E 3 ST;-73.97723;40.643612;17;30.0;Night;Car;HPP
B35-E-Night;302695;CHURCH AV / OCEAN PKWY;-73.97336;40.645256;19;30.0;Night;Car;HPP
B35-E-Night;302696;CHURCH AV/CONEY ISLAND AV;-73.971013;40.646222;20;30.0;Night;Car;HPP
B35-E-Night;302697;CHURCH AV/WESTMINSTER RD;-73.968043;40.647415;21;30.0;Night;Car;HPP
B35-E-Night;302698;CHURCH AV/RUGBY RD;-73.966292;40.6481;22;30.0;Night;Car;HPP
B35-E-Night;302699;CHURCH AV/E 18 ST;-73.963199;40.649313;23;30.0;Night;Car;HPP
B35-E-Night;302701;CHURCH AV/FLATBUSH AV;-73.958218;40.650362;25;30.0;Night;Car;HPP
B35-E-Night;302702;CHURCH AV/BEDFORD AV;-73.955969;40.650455;26;30.0;Night;Car;HPP
B35-E-Night;901728;CHURCH AV/LLOYD ST;-73.951423;40.650688;27;30.0;Night;Car;HPP
B35-E-Night;307792;CHURCH AV/NOSTRAND AV;-73.949277;40.650764;28;30.0;Night;Car;HPP
B35-E-Night;307791;CHURCH AV/NEW YORK AV;-73.946217;40.650909;29;30.0;Night;Car;HPP
B35-E-Night;302707;CHURCH AV/E 37 ST;-73.942939;40.651042;30;30.0;Night;Car;HPP
B35-E-Night;302708;CHURCH AV/E 38 ST;-73.941481;40.651129;31;30.0;Night;Car;HPP
B35-E-Night;302710;CHURCH AV/E 42 ST;-73.937686;40.651325;32;30.0;Night;Car;HPP
B35-E-Night;302711;CHURCH AV/TROY AV;-73.935751;40.65142;33;30.0;Night;Car;HPP
B35-E-Night;302714;CHURCH AV/E 48 ST;-73.932439;40.651571;34;30.0;Night;Car;HPP
B35-E-Night;302715;CHURCH AV/UTICA AV;-73.930572;40.651655;35;30.0;Night;Car;HPP
B35-E-Night;302716;CHURCH AV/E 52 ST;-73.928071;40.652173;36;30.0;Night;Car;HPP
B35-E-Night;302718;CHURCH AV/E 56 ST;-73.924192;40.652456;37;30.0;Night;Car;HPP
B35-E-Night;302719;CHURCH AV/KINGS HWY;-73.922293;40.652394;38;30.0;Night;Car;HPP
B35-E-Night;306838;CHURCH AV/REMSEN AV;-73.919557;40.652955;39;30.0;Night;Car;HPP
B35-E-Night;302722;CHURCH AV/E 94 ST;-73.916683;40.654816;40;30.0;Night;Car;HPP
B35-E-Night;302723;CHURCH AV/E 96 ST;-73.915074;40.655855;41;30.0;Night;Car;HPP
B35-E-Night;302724;CHURCH AV/ROCKAWAY PKWY;-73.914223;40.656401;42;30.0;Night;Car;HPP
B35-E-Night;308230;E 98 ST/HEGEMAN AV;-73.912518;40.655642;43;30.0;Night;Car;HPP
B35-E-Night;307115;HEGEMAN AV/THOMAS S BOYLAND ST;-73.90948;40.655881;44;30.0;Night;Car;HPP
B35-E-Night;301132;HEGEMAN AV/ROCKAWAY AV;-73.906863;40.65628;45;30.0;Night;Car;HPP
B35-E-Night;901518;HEGEMAN AV/WATKINS ST;-73.904007;40.656994;47;30.0;Night;Car;HPP
B35-E-RushHour;308194;39 ST/1 AV;-74.012027;40.656155;1;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302693;CHURCH AV / E 3 ST;-73.97723;40.643612;2;30.0;Rush Hour;Car;HPP
B35-E-RushHour;307581;CHURCH AV/E 5 ST;-73.975219;40.644458;3;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302680;39 ST/4 AV;-74.005795;40.652335;4;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302681;39 ST/5 AV;-74.004083;40.651303;5;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302682;39 ST/6 AV;-74.001423;40.649686;6;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302697;CHURCH AV/WESTMINSTER RD;-73.968043;40.647415;6;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302683;39 ST/7 AV;-73.999232;40.648374;7;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302698;CHURCH AV/RUGBY RD;-73.966292;40.6481;7;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302684;39 ST/8 AV;-73.996987;40.647018;8;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302700;CHURCH AV/OCEAN AV;-73.960539;40.650067;9;30.0;Rush Hour;Car;HPP
B35-E-RushHour;306636;39 ST/9 AV;-73.994843;40.645704;9;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302686;39 ST/10 AV;-73.992613;40.644356;10;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302687;39 ST/FORT HAMILTON PKWY;-73.990195;40.642895;11;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302688;39 ST/12 AV;-73.98821;40.641698;12;30.0;Rush Hour;Car;HPP
B35-E-RushHour;306532;39 ST/13 AV;-73.986038;40.640389;13;30.0;Rush Hour;Car;HPP
B35-E-RushHour;306524;14 AV/39 ST;-73.983782;40.639486;14;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302707;CHURCH AV/E 37 ST;-73.942939;40.651042;15;30.0;Rush Hour;Car;HPP
B35-E-RushHour;306711;14 AV/CHURCH AV;-73.981284;40.64189;15;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302692;CHURCH AV/McDONALD AV;-73.979587;40.64265;16;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302708;CHURCH AV/E 38 ST;-73.941481;40.651129;16;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302695;CHURCH AV / OCEAN PKWY;-73.97336;40.645256;17;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302696;CHURCH AV/CONEY ISLAND AV;-73.971013;40.646222;18;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302711;CHURCH AV/TROY AV;-73.935751;40.65142;18;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302699;CHURCH AV/E 18 ST;-73.963199;40.649313;19;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302714;CHURCH AV/E 48 ST;-73.932439;40.651571;19;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302701;CHURCH AV/FLATBUSH AV;-73.958218;40.650362;20;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302702;CHURCH AV/BEDFORD AV;-73.955969;40.650455;21;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302716;CHURCH AV/E 52 ST;-73.928071;40.652173;21;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302718;CHURCH AV/E 56 ST;-73.924192;40.652456;22;30.0;Rush Hour;Car;HPP
B35-E-RushHour;901728;CHURCH AV/LLOYD ST;-73.951423;40.650688;22;30.0;Rush Hour;Car;HPP
B35-E-RushHour;307792;CHURCH AV/NOSTRAND AV;-73.949277;40.650764;23;30.0;Rush Hour;Car;HPP
B35-E-RushHour;306838;CHURCH AV/REMSEN AV;-73.919557;40.652955;24;30.0;Rush Hour;Car;HPP
B35-E-RushHour;307791;CHURCH AV/NEW YORK AV;-73.946217;40.650909;24;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302710;CHURCH AV/E 42 ST;-73.937686;40.651325;25;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302722;CHURCH AV/E 94 ST;-73.916683;40.654816;25;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302715;CHURCH AV/UTICA AV;-73.930572;40.651655;26;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302723;CHURCH AV/E 96 ST;-73.915074;40.655855;26;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302719;CHURCH AV/KINGS HWY;-73.922293;40.652394;27;30.0;Rush Hour;Car;HPP
B35-E-RushHour;302724;CHURCH AV/ROCKAWAY PKWY;-73.914223;40.656401;27;30.0;Rush Hour;Car;HPP
B35-E-RushHour;307115;HEGEMAN AV/THOMAS S BOYLAND ST;-73.90948;40.655881;29;30.0;Rush Hour;Car;HPP
B35-E-RushHour;308230;E 98 ST/HEGEMAN AV;-73.912518;40.655642;30;30.0;Rush Hour;Car;HPP
B35-E-RushHour;301132;HEGEMAN AV/ROCKAWAY AV;-73.906863;40.65628;31;30.0;Rush Hour;Car;HPP
B35-E-RushHour;301133;HEGEMAN AV/OSBORN ST;-73.905046;40.656548;31;30.0;Rush Hour;Car;HPP
B35-E-RushHour;901518;HEGEMAN AV/WATKINS ST;-73.904007;40.656994;32;30.0;Rush Hour;Car;HPP
B35-W-Day;301052;HEGEMAN AV/WATKINS ST;-73.904999;40.656666;1;30.0;Day Busses;Car;HPP
B35-W-Day;301053;HEGEMAN AV/THATFORD AV;-73.906268;40.65648;2;30.0;Day Busses;Car;HPP
B35-W-Day;301054;HEGEMAN AV/CHESTER ST;-73.908149;40.656215;3;30.0;Day Busses;Car;HPP
B35-W-Day;301056;E 98 ST/HEGEMAN AV;-73.912738;40.655953;4;30.0;Day Busses;Car;HPP
B35-W-Day;302736;CHURCH AV/E 98 ST;-73.914132;40.65664;5;30.0;Day Busses;Car;HPP
B35-W-Day;302740;CHURCH AV/REMSEN AV;-73.919846;40.652947;5;30.0;Day Busses;Car;HPP
B35-W-Day;302737;CHURCH AV/E 96 ST;-73.915813;40.655549;6;30.0;Day Busses;Car;HPP
B35-W-Day;302742;CHURCH AV/KINGS HWY;-73.923403;40.652581;6;30.0;Day Busses;Car;HPP
B35-W-Day;306454;CHURCH AV/E 93 ST;-73.918309;40.653939;7;30.0;Day Busses;Car;HPP
B35-W-Day;302750;CHURCH AV/E 42 ST;-73.93845;40.651424;8;30.0;Day Busses;Car;HPP
B35-W-Day;302741;CHURCH AV/RALPH AV;-73.92128;40.652583;9;30.0;Day Busses;Car;HPP
B35-W-Day;307790;CHURCH AV/NEW YORK AV;-73.947114;40.650992;9;30.0;Day Busses;Car;HPP
B35-W-Day;307793;CHURCH AV/NOSTRAND AV;-73.950008;40.650853;10;30.0;Day Busses;Car;HPP
B35-W-Day;302743;CHURCH AV/E 55 ST;-73.925501;40.65252;11;30.0;Day Busses;Car;HPP
B35-W-Day;307795;CHURCH AV/ROGERS AV;-73.952873;40.650717;11;30.0;Day Busses;Car;HPP
B35-W-Day;302745;CHURCH AV/E 52 ST;-73.928856;40.652154;12;30.0;Day Busses;Car;HPP
B35-W-Day;302758;CHURCH AV/BEDFORD AV;-73.956268;40.650576;12;30.0;Day Busses;Car;HPP
B35-W-Day;302759;CHURCH AV/FLATBUSH AV;-73.959407;40.650341;13;30.0;Day Busses;Car;HPP
B35-W-Day;308483;CHURCH AV/UTICA AV;-73.930558;40.651797;13;30.0;Day Busses;Car;HPP
B35-W-Day;302747;CHURCH AV/E 48 ST;-73.932431;40.651652;14;30.0;Day Busses;Car;HPP
B35-W-Day;302761;CHURCH AV/E 18 ST;-73.963494;40.649346;14;30.0;Day Busses;Car;HPP
B35-W-Day;302748;CHURCH AV/E 46 ST;-73.934681;40.651606;15;30.0;Day Busses;Car;HPP
